custcode,Mar,Apr,May,firstAccum,firstTrend,SecondTrend,AvgFirstTrend,Jun,Jul,Aug,SecondAccum,ThirdTrend,FourthTrend,SecondAvgTrend,AccumTrend
08013AY,"6,291",873,,"7,164",7.21,0,3.605,,"8,494","6,083","14,578",0,0.72,0.36,2.03
08014AY,,,,0,0,0,0,,,52,52,0,0,0,0
08015AY,"1,517,934","1,550,442","1,712,488","4,780,864",0.98,0.91,0.945,"1,464,759","1,276,862","1,377,945","4,119,565",0.87,1.08,0.975,0.86
08016AY,"12,211","1,612","152,351","166,174",7.58,0.01,3.795,,"92,367",,"92,367",0,0,0,0.56
08017AY,62,308,,370,0.2,0,0.1,,721,,721,0,0,0,1.95
08018AY,,145,,145,0,0,0,,822,"2,479","3,301",0,3.01,1.505,22.77
08020AY,,,346,346,0,0,0,428,,,428,0,0,0,1.24
08021AY,,,,0,0,0,0,,,,0,0,0,0,0
08023AY,"1,145",396,807,"2,348",2.89,0.49,1.69,450,,288,738,0,0,0,0.31
09001AY,,"83,657",673,"84,330",0,124.3,62.15,"4,589","4,912","25,378","34,879",1.07,5.17,3.12,0.41
09002AY,"8,663","4,668","25,268","38,599",1.86,0.18,1.02,"11,076","5,192","2,384","18,652",0.47,0.46,0.465,0.48
09004AY,215,,,215,0,0,0,,79,305,384,0,3.84,1.92,1.79
09005AY,71,,,71,0,0,0,,,,0,0,0,0,0
10002BS,,,,0,0,0,0,,603,,603,0,0,0,0
10006AY,"584,286","469,187","216,634","1,270,107",1.25,2.17,1.71,"338,099","246,521","391,321","975,941",0.73,1.59,1.16,0.77
10010AY,"1,049",636,,"1,685",1.65,0,0.825,,,,0,0,0,0,0
10012AY,"99,410","126,421","165,371","391,202",0.79,0.76,0.775,"167,928","48,763","21,251","237,943",0.29,0.44,0.365,0.61
10014BS,892,,,892,0,0,0,695,,826,"1,521",0,0,0,1.71
10017AY,,,,0,0,0,0,,,,0,0,0,0,0
10018AY,,,,0,0,0,0,,,533,533,0,0,0,0
10020AY,,,,0,0,0,0,,"5,566",,"5,566",0,0,0,0
10022AY,640,,"7,431","8,071",0,0,0,,,"3,925","3,925",0,0,0,0.49
10026AY,,,"2,891","2,891",0,0,0,,"1,262","1,056","2,318",0,0.84,0.42,0.8
10027AY,,,,0,0,0,0,,,,0,0,0,0,0
